Index,Project Title,Status,Executing Entity,Duration,"Locations:
To navigate, press the arrow keys.",Approval Date,Start Date,Country/Region,Implementing Entity,Project ID,Transferred Amount,Grant Amount,Sector,Project Description,Completion Date,Locations:
0,An integrated approach to physical adaptation and community resilience in Antigua and Barbuda’s northwest McKinnon’s watershed,Project Under Implementation,Project Management Unit (PMU) of the ABED,3.5 years,,03/17/2017,08/01/2017,Antigua and Barbuda/Latin America & Caribbean,Department of Environment Ministry of Health and the Environment (ABED),ATG/NIE/Multi/2016/1,"USD 9,509,250","USD 9,970,000",Multi-sector,"Antigua and Barbuda is a twin-island state located in the eastern region of the Caribbean Sea. This project will focus its efforts on a high risk and populated watershed on the northwest coast of Antigua. The project area is vulnerable to climate change, undergoing urban expansion, and supports low income and lower middle-income families. The project seeks to reduce vulnerability of the community, by increasing the ability of the watershed to handle extreme rainfall, while increasing the resilience of the built environment simultaneously to cope with the multiple stressors of climate change. This integrated approach will ensure that the community will be able to withstand projected climate change impacts while the ecosystems can accommodate increased rainfall. The three specific objectives of the project are to:  ",,
1,Enhancing the Adaptive Capacity and Increasing Resilience of Small-size Agriculture Producers of the Northeast of Argentina,Project Completed,"Ministry of Agriculture, Livestock and Fishery;",4.5 years,,04/04/2013,10/24/2013,Argentina/Latin America & Caribbean,Unidad Para Cambio Rural Argentina,ARG/NIE/Agri/2011/1,"USD 5,640,000","USD 5,640,000",Agriculture,"  In the northeast Argentina, 80% of the producers belong to small-scale family agriculture. Agricultural production is dominated by livestock production and crops. During recent years, the region has experienced a noticeable increase in the annual mean precipitation and changes in annual mean temperatures. In addition, the frequency of extreme precipitation has increased. Due to these changes, droughts and water deficit but also more frequent and intense floods are affecting the lives of small-scale agricultural producers. The main objective of the project is to increase the adaptive capacity and to build resilience of small-scale family agricultural producers in the face of climate change and climate variability impacts, particularly those deriving from the increase in the intensity of hydro-meteorological events, such as floods and droughts. The specific objectives of the project are:    ",12/31/2018,
2,Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Project Completed,Secretaria de Ambiente y Desarollo Sustentable (SA,4 years,,12/14/2012,06/11/2015,Argentina/Latin America & Caribbean,International Bank of Reconstruction and Development,ARG/MIE/Rural/2011/1,"USD 4,296,817","USD 4,296,817",Rural development,"The southwest of the Buenos Aires Province is a cattle rearing zone. The soils in Argentina’s semi-arid Pampa regions are especially vulnerable to increasing climate variability and change. Over the last century, Argentina has experienced significant agricultural intensification without much attention being given to environmental sustainability and the conservation of agroecosystems, natural resilience and adaptive capacity of the agricultural systems, which have therefore suffered significant damage and loss of their natural climate resilience. The project objective is to contribute to reduce climate and human induced vulnerability of the agroecosystems in the Southwest of the Buenos Aires Province by increasing adaptive capacity of key local institutions and actors, and piloting climate resilient and sustainable land management practices. Participatory planning processes will be used to identify and pilot concrete adaptation measures focusing on water, crops and livestock management to promote climate resilience.    ",09/30/2019,
3,Strengthening land based adaptation capacity in communities adjacent to protected areas in Armenia,Project Under Implementation,Ministry of Nature Protection of RA,3 years,,03/15/2019,09/26/2019,Armenia/Eastern Europe,Environmental Project Implementation Unit,,"USD 2,506,000","USD 2,506,000",Forests,"Due to its climate and pronounced location in the South Caucasus with a mountainous landscape, fragile ecosystems and a vulnerable, agricultural based economy, the compounding effects of climate change and land degradation particularly affect livelihoods and economies of Armenia and its approximately 3 million inhabitants. In fact, climate trends over the previous 90 years have already indicated a significant warming trend. The summer season has become dryer and the number of extreme events, like hailstorms, has increased. Different climate change scenarios predict that this trend will continue to increase and substantially affect the marginal production areas. Crop and livestock production have already decreased in some areas, and if no additional climate adaptation measures were taken, will continue to decrease. Notably areas and communities adjacent to protected areas and forests – like Khosrov Forest State Reserve and Dilijan National Park – are vulnerable due to a persistent pressure on the remaining land and pasture resources, weak rural infrastructure and the lack of alternative income opportunities. The existing capacity to adapt to a changing climate and its increasing impacts on the rural livelihoods and their production systems is low, calling for concerted efforts to addresses the compounding challenges of land degradation and climate change impacts on rural livelihoods. The objective of the project is to reduce the climate risk vulnerability of local communities living adjacent to the “Khosrov Forest” and “Dilijan” National Park by strengthening the adaptive capacity of the agricultural sector and reinforcing their institutional and planning capacity for climate change adaptation. The specific objectives of the project are:  ",,
4,Artik city closed stonepit wastes and flood management pilot project,Project Under Implementation,Ministry of Nature Protection of RA,4 years,,10/12/2018,07/26/2019,Armenia/Eastern Europe,Environmental Project Implementation Unit,,"USD 1,435,100","USD 1,435,100",Urban development,"For years exploited stone pits have had negative impact on the environment. Previously, more than 60% of the total volume of construction stone products of the Republic was produced in Artik and its adjacent communities. Many mines were closed due to reduction of construction stone consumption volumes, conservation and reclamation works of the mines have not been carried out thus causing many environmental problems. Hundreds of hectares of agricultural and natural landscapes were degraded and lost natural way of restoration due to such exploitation of mines. Dust through strong winds and solid remnants through snowmelt and rainfall spread over great distances polluting natural agro landscapes. The project seeks to improve resilience of highly exposed Artik city of Armenia to hydro-meteorological threats that are increasing in frequency and intensity as a result of climate change. The project will reduce the quantity of debris flowing to reservoir located down the Artik city and the pollution of agricultural lands (300 hectares of arable land 190 hectares of pastures, 15 hectares of hay meadows, 640 ha of artificial forests, 80ha of water reservoir and other natural landscapes) in the project impact area by increasing their resilience and adaptation to climate change. The specific objectives of the project are:    ",,
5,Adaptation Initiative for Climate Vulnerable Offshore Small Islands and Riverine Charland in Bangladesh,Project Under Implementation,"Department of Environment, Ministry of Environment, Forest and Climate Change",5 years,,03/15/2019,06/29/2021,Bangladesh/Asia-Pacific,UN Development Programme,,"USD 2,588,075","USD 9,995,369",Disaster Risk Reduction,"Bangladesh has a low-lying topography extremely exposed to sea level rise, cyclones, tidal surges, salinity intrusion, erratic rainfall, drought and floods, causing it to be one of the world’s most vulnerable countries to climate change. The vulnerable communities who live on chars — small alluvial islands in rivers and the Bay of Bengal are particularly at risk from climate change. These communities have already experienced several climate change impacts including frequent tidal surges, increasingly intense cyclones and salt water intrusion into fresh water and soil. Furthermore, climate change is projected to have an adverse impact on agriculture and other local livelihoods; fragile houses, access to drinking water and rural infrastructure, which includes existing cyclone protection embankments. The impacts of climate change also disproportionately affect the poor and are especially severe for women and children, who are forced to spend a greater portion of their time on livelihood and domestic activities. The main objective of the project is to enhance the climate resilience of vulnerable communities who live on coastal islands and riverine chars in Bangladesh. The specific objectives of the project are:    ",,
6,Belize Marine Conservation and Climate Adaptation Initiative,Project Completed,Protected Areas Conservation Trust,5 years,,08/18/2014,03/17/2015,Belize/Latin America & Caribbean,International Bank of Reconstruction and Development,BLZ/MIE/Coastal/2011/1,"USD 6,000,000","USD 6,000,000",Coastal management,"The coastal zones of Belize are critical to its economy, as the livelihoods of fishers, other resource extactors, and the tourism sector, relies upon these ecosystems. It will also be a zone affected by climate-induced increased storm surges. This project’s objective is to implement priority ecosystem-based marine conservation and climate adaptation measures to strengthen the climate resilience of the Belize Barrier Reef System. The project will take a two-pronged approach – both enhancing ecosystem function and therefore resilience through recovery and restoration, and reducing degradation caused by overexploitation and pollution. Specifically, the project will support (i) the improvement of the reef’s protection regime including an expansion and enforcement of the Marine Protected Areas (MPAs) and replenishment (no-take) zones in strategically selected locations to climate resilience, (ii) promotion of sustainable alternative livelihoods for affected users of the reef, and (iii) building local capacity and raising awareness regarding the overall health of the reef ecosystem and the climate resilience of coral reefs. Click here for project approval document. Related Links Press Release: Adaptation Fund Belize Marine Conservation and Resilience Project Featured in New York Film Academy Series    ",01/03/2022,
7,Adaptation to Climate-Induced Water Stresses through Integrated Landscape Management in Bhutan,Proposal Approved,"Department of Agriculture and Department of Forests and Park Services, Ministry of Agriculture and Forests,Department of Engineering Services, Ministry of Works and Human Settlement,Ministry of Finance,Department of Local Governance, Ministry of Home and Cultural Affairs",5 years,,10/14/2022,,Bhutan/Asia-Pacific,Bhutan Trust Fund for Environmental Conservation,,"USD 3,605,597","USD 9,998,955",Multi-sector,"   The proposed project will be implemented in three dzongkhags, namely Dagana, Paro and Tsirang and 13 gewogs. These gewogs have been identified as priorities for intervention under the government’s “water flagship programme” due to their specific vulnerabilities exacerbated by climate change that need to be specifically addressed through targeted water and agricultural adaptation activities. These gewogs, put together, have a total population of 36,464 and cover a total area of 1,403sq km. The project for climate resilience building in water stressed communities in Bhutan proposes an articulated approach that will lead to healthier ecosystems and improved associated services, better management of water use for human activities, improved information systems and decision-making, and linking with the most relevant level of governance. Issues related to water availability and use all along the watershed, the various components of sustainability (including at technical, financial and institutional level), and the participation of the beneficiaries are key aspects of the project. Expected impacts of climate change will place additional stress on ecosystem-based livelihoods and on already vulnerable groups. As such, the project will focus on local level adaptation, increasing potential benefits for exposed or sensitive groups, and act as a force for change towards the foreseen improvements at different levels. The project aims to benefit 36,464 people directly and rehabilitate 21,251 hectares of natural habitats.  ",,
8,Strengthen the Resilience of Smallholder Farmers to the Effects of Climate Change through the Adoption of Proven Innovative Technologies and Practices,Proposal Approved,Agence Nationale d’Appui au Développement Rural (ANADER),3.5 years,,03/24/2023,,Côte d'Ivoire/Africa,The Interprofessional Fund for Agricultural Research,,"USD 1,412,166","USD 4,000,000",Agriculture,,,
9,Increasing Rural Communities’ Adaptive Capacity and Resilience to Climate Change in Bandama Basin in Côte d’Ivoire,Project Under Implementation,"Societe d’exploitation de Developpement Aeroportuaire Aeronautique Meteo (SODEXAM),Ministry of Agriculture and Rural Development,Ministry of Environment and Sustainable Development",4 years,,02/23/2022,01/07/2023,Côte d'Ivoire/Africa,International Fund Agricultural Dev,,"USD 2,060,470","USD 6,000,000",Agriculture," Climate change and climate variability is already affecting rainfall and temperature patterns in Côte d’Ivoire, eventually leading to decreasing water availability. Agricultural productivity is therefore expected to decrease because of increased temperature and more frequent precipitation extremes. The projected increase in dry spells could also lead to reduced availability of water for irrigation during the dry months of the year. As a consequence of changing patterns and more frequent extreme events, the overall stability of production and external supply, as well as incomes from agricultural activities could be reduced by future climate change. The project proposes the implementation of a set of concrete adaptation interventions targeted to 3 profitable agricultural production systems (rice, cassava and cocoa) in the Bandama basin. The project will support the provision of data, information and knowledge to support decisions taken by farmers in choosing appropriate adaptation measures combined with direct support through extension services to ensure rapid adoption and scaling-up to the largest number of recipients. The project will also address the enabling environment by looking into the optimum institutional setting and collaboration from Ministries down to farmer organizations. The project intends to reduce the projected direct effects of the negative impacts of climate change on 15,600 smallholder farmers including 5,000 rice producers, 5,600 cassava producers and 4,000 cocoa producers, 1,000 from other enterprises/cooperatives of which at least 45 % will be women and 40 % young people; and indirectly benefiting 93,600 beneficiaries  (45% will be women) through improved regulatory systems, increased access in climate resilient planting materials, and better access to market and other downstream effects.    ",,
