Country,Project Name,Project Link,Implementing Entity,Approved Amount (USD),Amount Transferred (USD),Approval Date,Status,Grant Category
Antigua and Barbuda,An integrated approach to physical adaptation and community resilience in Antigua and Barbuda's northwest McKinnon's watershed,https://www.adaptation-fund.org/project/integrated-approach-physical-adaptation-community-resilience-antigua-barbudas-northwest-mckinnons-watershed/,Department of Environment Ministry of Health and the Environment (ABED),9970000.0,9509250.0,2017-03-17,Project Under Implementation,Regular Size Project
Argentina,Enhancing the Adaptive Capacity and Increasing Resilience of Small-size Agriculture Producers of the Northeast of Argentina,https://www.adaptation-fund.org/project/enhancing-the-adaptive-capacity-and-increasing-resilience-of-small-scale-agriculture-producers-of-the-northeast-of-argentina/,Unidad Para Cambio Rural Argentina,5640000.0,5640000.0,2013-04-04,Project Completed,Regular Size Project
Argentina,Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,https://www.adaptation-fund.org/project/increasing-climate-resilience-and-enhancing-sustainable-land-management-in-the-southwest-of-buenos-aires-province/,International Bank of Reconstruction and Development,4296817.0,4296817.0,2012-12-14,Project Completed,Regular Size Project
Armenia,Strengthening land based adaptation capacity in communities adjacent to protected areas in Armenia,https://www.adaptation-fund.org/project/strengthening-land-based-adaptation-capacity-communities-adjacent-protected-areas-armenia-3/,Environmental Project Implementation Unit,2506000.0,2506000.0,2019-03-15,Project Under Implementation,Regular Size Project
Armenia,Artik city closed stonepit wastes and flood management pilot project,https://www.adaptation-fund.org/project/artik-city-closed-stone-pit-waste-flood-management/,Environmental Project Implementation Unit,1435100.0,1435100.0,2018-10-12,Project Under Implementation,Regular Size Project
Bangladesh,Adaptation Initiative for Climate Vulnerable Offshore Small Islands and Riverine Charland in Bangladesh,https://www.adaptation-fund.org/project/adaptation-initiative-climate-vulnerable-offshore-small-islands-riverine-charland-bangladesh/,UN Development Programme,9995369.0,2588075.0,2019-03-15,Project Under Implementation,Regular Size Project
Belize,Belize Marine Conservation and Climate Adaptation Initiative,https://www.adaptation-fund.org/project/belize-marine-conservation-and-climate-adaptation-project/,International Bank of Reconstruction and Development,6000000.0,6000000.0,2014-08-18,Project Completed,Regular Size Project
Bhutan,Adaptation to Climate-Induced Water Stresses through Integrated Landscape Management in Bhutan,https://www.adaptation-fund.org/project/adaptation-to-climate-induced-water-stresses-through-integrated-landscape-management-in-bhutan/,Bhutan Trust Fund for Environmental Conservation,9998955.0,3605597.0,2022-10-14,Proposal Approved,Regular Size Project
Côte d'Ivoire,Strengthen the Resilience of Smallholder Farmers to the Effects of Climate Change through the Adoption of Proven Innovative Technologies and Practices,https://www.adaptation-fund.org/project/strengthen-the-resilience-of-smallholder-farmers-to-the-effects-of-climate-change-through-the-adoption-of-proven-innovative-technologies-and-practices-2/,The Interprofessional Fund for Agricultural Research,4000000.0,1412166.0,2023-03-24,Proposal Approved,Regular Size Project
Côte d'Ivoire,Increasing Rural Communities’ Adaptive Capacity and Resilience to Climate Change in Bandama Basin in Côte d’Ivoire,https://www.adaptation-fund.org/project/increasing-rural-communities-adaptive-capacity-and-resilience-to-climate-change-in-bandama-basin-in-co%cc%82te-divoire/,International Fund Agricultural Dev,6000000.0,2060470.0,2022-02-23,Project Under Implementation,Regular Size Project
Cambodia,Climate Change Adaptation through Protective Small-scale Infrastructure Interventions in Coastal Settlements of Cambodia,https://www.adaptation-fund.org/project/climate-change-adaptation-through-protective-small-scale-infrastructure-interventions-in-coastal-settlements-of-cambodia-2/,UN-Habitat,5000000.0,2913095.0,2021-01-26,Project Under Implementation,Regular Size Project
Cambodia,Enhancing Climate Resilience of Rural Communities Living in Protected Areas of Cambodia,https://www.adaptation-fund.org/project/enhancing-climate-resilience-of-rural-communities-living-in-protected-areas-of-cambodia/,UN Environment Programme,4954273.0,4954273.0,2012-06-29,Project Completed,Regular Size Project
Cameroon,Increasing Local Communities’ Resilience to Climate Change through Youth Entrepreneurship and Integrated Natural Resources Management,https://www.adaptation-fund.org/project/increasing-local-communities-resilience-to-climate-change-through-youth-entrepreneurship-and-integrated-natural-resources-management-2/,International Fund Agricultural Dev,9982000.0,1260000.0,2020-09-23,Project Under Implementation,Regular Size Project
Chile,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins,https://www.adaptation-fund.org/project/enhancing-resilience-of-climate-change-of-the-small-agriculture-in-chilean-region-of-o-higgins/,Agencia de Cooperación Internacional de Chile,9960000.0,9960000.0,2015-10-09,Project Under Implementation,Regular Size Project
Colombia,Reducing Risk and Vulnerability to Climate Change in the Region of La Depresion Momposina in Colombia,https://www.adaptation-fund.org/project/reducing-risk-and-vulnerability-to-climate-change-in-the-region-of-la-depresion-momposina-in-colombia/,UN Development Programme,8518307.0,8518307.0,2012-06-29,Project Completed,Regular Size Project
Congo,Building adaptive capacity to climate change in vulnerable communities living in the Congo River Basin,https://www.adaptation-fund.org/project/building-adaptive-capacity-to-climate-change-in-vulnerable-communities-living-in-the-congo-river-basin/,UN World Food Programme,9999909.0,1996677.0,2019-10-11,Project Under Implementation,Regular Size Project
Cook Islands,“Akamatutu’anga kia Tukatau te Ora’anga ite Pa Enua” Pa Enua Action for Resilient Livelihoods (PEARL),https://www.adaptation-fund.org/project/akamatutuanga-kia-tukatau-te-oraanga-ite-pa-enua-pa-enua-action-resilient-livelihoods-pearl-2/,Ministry of Finance and Economic Management,2999125.0,2999125.0,2018-03-22,Project Under Implementation,Regular Size Project
Cook Islands,Akamatutu’anga i te iti tangata no te tuatau manakokore ia e te taui’anga reva - Strengthening the Resilience of our Islands and our Communities to Climate Change,https://www.adaptation-fund.org/project/strengthening-the-resilience-of-our-islands-and-our-communities-to-climate-change/,UN Development Programme,5381600.0,5381600.0,2011-12-14,Project Completed,Regular Size Project
Costa Rica,Increasing the Resilience of Vulnerable Populations in Costa Rica by Scaling up Adapta2+,https://www.adaptation-fund.org/project/increasing-the-resilience-of-vulnerable-populations-in-costa-rica-by-scaling-up-adapta2-3/,Fundecooperacion Para el Desarollo Sostenible,10000000.0,700000.0,2022-07-28,Proposal Approved,Regular Size Project
