Country/Region,Project Title,Project Description,Sector,Status,Implementing Entity,Executing Entity,Duration,Approval Date,Start Date,Completion Date,Transferred Amount,Grant Amount
Antigua and Barbuda/Latin America & Caribbean,An integrated approach to physical adaptation and community resilience in Antigua and Barbuda’s northwest McKinnon’s watershed,"Antigua and Barbuda is a twin-island state located in the eastern region of the Caribbean Sea. This project will focus its efforts on a high risk and populated watershed on the northwest coast of Antigua. The project area is vulnerable to climate change, undergoing urban expansion, and supports low income and lower middle-income families. The project seeks to reduce vulnerability of the community, by increasing the ability of the watershed to handle extreme rainfall, while increasing the resilience of the built environment simultaneously to cope with the multiple stressors of climate change. This integrated approach will ensure that the community will be able to withstand projected climate change impacts while the ecosystems can accommodate increased rainfall. The three specific objectives of the project are to:  ",Multi-sector,Project Under Implementation,Department of Environment Ministry of Health and the Environment (ABED),Project Management Unit (PMU) of the ABED,3.5 years,3/17/2017,8/1/2017,,"USD 9,509,250","USD 9,970,000"
Argentina/Latin America & Caribbean,Enhancing the Adaptive Capacity and Increasing Resilience of Small-size Agriculture Producers of the Northeast of Argentina,"  In the northeast Argentina, 80% of the producers belong to small-scale family agriculture. Agricultural production is dominated by livestock production and crops. During recent years, the region has experienced a noticeable increase in the annual mean precipitation and changes in annual mean temperatures. In addition, the frequency of extreme precipitation has increased. Due to these changes, droughts and water deficit but also more frequent and intense floods are affecting the lives of small-scale agricultural producers. The main objective of the project is to increase the adaptive capacity and to build resilience of small-scale family agricultural producers in the face of climate change and climate variability impacts, particularly those deriving from the increase in the intensity of hydro-meteorological events, such as floods and droughts. The specific objectives of the project are:    ",Agriculture,Project Completed,Unidad Para Cambio Rural Argentina,"Ministry of Agriculture, Livestock and Fishery;",4.5 years,4/4/2013,10/24/2013,12/31/2018,"USD 5,640,000","USD 5,640,000"
Argentina/Latin America & Caribbean,Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,"The southwest of the Buenos Aires Province is a cattle rearing zone. The soils in Argentina’s semi-arid Pampa regions are especially vulnerable to increasing climate variability and change. Over the last century, Argentina has experienced significant agricultural intensification without much attention being given to environmental sustainability and the conservation of agroecosystems, natural resilience and adaptive capacity of the agricultural systems, which have therefore suffered significant damage and loss of their natural climate resilience. The project objective is to contribute to reduce climate and human induced vulnerability of the agroecosystems in the Southwest of the Buenos Aires Province by increasing adaptive capacity of key local institutions and actors, and piloting climate resilient and sustainable land management practices. Participatory planning processes will be used to identify and pilot concrete adaptation measures focusing on water, crops and livestock management to promote climate resilience.    ",Rural development,Project Completed,International Bank of Reconstruction and Development,Secretaria de Ambiente y Desarollo Sustentable (SA,4 years,12/14/2012,6/11/2015,9/30/2019,"USD 4,296,817","USD 4,296,817"
Armenia/Eastern Europe,Strengthening land based adaptation capacity in communities adjacent to protected areas in Armenia,"Due to its climate and pronounced location in the South Caucasus with a mountainous landscape, fragile ecosystems and a vulnerable, agricultural based economy, the compounding effects of climate change and land degradation particularly affect livelihoods and economies of Armenia and its approximately 3 million inhabitants. In fact, climate trends over the previous 90 years have already indicated a significant warming trend. The summer season has become dryer and the number of extreme events, like hailstorms, has increased. Different climate change scenarios predict that this trend will continue to increase and substantially affect the marginal production areas. Crop and livestock production have already decreased in some areas, and if no additional climate adaptation measures were taken, will continue to decrease. Notably areas and communities adjacent to protected areas and forests – like Khosrov Forest State Reserve and Dilijan National Park – are vulnerable due to a persistent pressure on the remaining land and pasture resources, weak rural infrastructure and the lack of alternative income opportunities. The existing capacity to adapt to a changing climate and its increasing impacts on the rural livelihoods and their production systems is low, calling for concerted efforts to addresses the compounding challenges of land degradation and climate change impacts on rural livelihoods. The objective of the project is to reduce the climate risk vulnerability of local communities living adjacent to the “Khosrov Forest” and “Dilijan” National Park by strengthening the adaptive capacity of the agricultural sector and reinforcing their institutional and planning capacity for climate change adaptation. The specific objectives of the project are:  ",Forests,Project Under Implementation,Environmental Project Implementation Unit,Ministry of Nature Protection of RA,3 years,3/15/2019,9/26/2019,,"USD 2,506,000","USD 2,506,000"
Armenia/Eastern Europe,Artik city closed stonepit wastes and flood management pilot project,"For years exploited stone pits have had negative impact on the environment. Previously, more than 60% of the total volume of construction stone products of the Republic was produced in Artik and its adjacent communities. Many mines were closed due to reduction of construction stone consumption volumes, conservation and reclamation works of the mines have not been carried out thus causing many environmental problems. Hundreds of hectares of agricultural and natural landscapes were degraded and lost natural way of restoration due to such exploitation of mines. Dust through strong winds and solid remnants through snowmelt and rainfall spread over great distances polluting natural agro landscapes. The project seeks to improve resilience of highly exposed Artik city of Armenia to hydro-meteorological threats that are increasing in frequency and intensity as a result of climate change. The project will reduce the quantity of debris flowing to reservoir located down the Artik city and the pollution of agricultural lands (300 hectares of arable land 190 hectares of pastures, 15 hectares of hay meadows, 640 ha of artificial forests, 80ha of water reservoir and other natural landscapes) in the project impact area by increasing their resilience and adaptation to climate change. The specific objectives of the project are:    ",Urban development,Project Under Implementation,Environmental Project Implementation Unit,Ministry of Nature Protection of RA,4 years,10/12/2018,7/26/2019,,"USD 1,435,100","USD 1,435,100"
Bangladesh/Asia-Pacific,Adaptation Initiative for Climate Vulnerable Offshore Small Islands and Riverine Charland in Bangladesh,"Bangladesh has a low-lying topography extremely exposed to sea level rise, cyclones, tidal surges, salinity intrusion, erratic rainfall, drought and floods, causing it to be one of the world’s most vulnerable countries to climate change. The vulnerable communities who live on chars — small alluvial islands in rivers and the Bay of Bengal are particularly at risk from climate change. These communities have already experienced several climate change impacts including frequent tidal surges, increasingly intense cyclones and salt water intrusion into fresh water and soil. Furthermore, climate change is projected to have an adverse impact on agriculture and other local livelihoods; fragile houses, access to drinking water and rural infrastructure, which includes existing cyclone protection embankments. The impacts of climate change also disproportionately affect the poor and are especially severe for women and children, who are forced to spend a greater portion of their time on livelihood and domestic activities. The main objective of the project is to enhance the climate resilience of vulnerable communities who live on coastal islands and riverine chars in Bangladesh. The specific objectives of the project are:    ",Disaster Risk Reduction,Project Under Implementation,UN Development Programme,"Department of Environment, Ministry of Environment, Forest and Climate Change",5 years,3/15/2019,6/29/2021,,"USD 2,588,075","USD 9,995,369"
Belize/Latin America & Caribbean,Belize Marine Conservation and Climate Adaptation Initiative,"The coastal zones of Belize are critical to its economy, as the livelihoods of fishers, other resource extactors, and the tourism sector, relies upon these ecosystems. It will also be a zone affected by climate-induced increased storm surges. This project’s objective is to implement priority ecosystem-based marine conservation and climate adaptation measures to strengthen the climate resilience of the Belize Barrier Reef System. The project will take a two-pronged approach – both enhancing ecosystem function and therefore resilience through recovery and restoration, and reducing degradation caused by overexploitation and pollution. Specifically, the project will support (i) the improvement of the reef’s protection regime including an expansion and enforcement of the Marine Protected Areas (MPAs) and replenishment (no-take) zones in strategically selected locations to climate resilience, (ii) promotion of sustainable alternative livelihoods for affected users of the reef, and (iii) building local capacity and raising awareness regarding the overall health of the reef ecosystem and the climate resilience of coral reefs. Click here for project approval document. Related Links Press Release: Adaptation Fund Belize Marine Conservation and Resilience Project Featured in New York Film Academy Series    ",Coastal management,Project Completed,International Bank of Reconstruction and Development,Protected Areas Conservation Trust,5 years,8/18/2014,3/17/2015,1/3/2022,"USD 6,000,000","USD 6,000,000"
Cambodia/Asia-Pacific,Climate Change Adaptation through Protective Small-scale Infrastructure Interventions in Coastal Settlements of Cambodia," Cambodia is vulnerable to droughts, floods and sea-level rise. The coastal area is also increasingly affected by strong winds, which are often associated with the onset of thunderstorms. Increases in sea levels are especially alarming for Cambodia’s coastal areas that are already experiencing severe seawater intrusion, beach erosion, high tides, and frequent storm surges. Additional impacts such as land subsidence in the region may even further intensify its effects. In addition, substantial saltwater incursion and coastal erosion has been observed throughout the coastal area, including in all eight of the target communes. Considering the topography of the area; primarily flat coastal plain, characterised by rice paddy and poor settlements, erosion and seawater incursion is having a substantial impact on the ability of people to source their livelihoods. The main objective of the project is to enhance climate change adaptation and resilience of the most vulnerable coastal human settlements of Cambodia through concrete climate change adaptation actions, particularly in areas where ecotourism has the potential to sustain such interventions. To achieve this objective, the project focuses its actions on highly vulnerable settlements in Kep Province and Prey Nob District of Preah Sihanouk Province. The anticipated impact of the project will be reflected in the Kep Province, where the project will target four sangkats/communes, with a total of 28,021 direct beneficiaries of the project’s interventions, and in Prey Nob District (in Preah Sihanouk Province) targeting seven communes, with a total of 34,500 beneficiaries.  ",Urban development,Project Under Implementation,UN-Habitat,"National Council for SustainableDevelopment (NCSD)",4 years,1/26/2021,8/26/2021,,"USD 2,913,095","USD 5,000,000"
Cameroon/Africa,Increasing Local Communities’ Resilience to Climate Change through Youth Entrepreneurship and Integrated Natural Resources Management,The overall objective of the project is to increase local communities’ resilience to climate change through resilient livelihoods and integrated natural resources management. 72. The project will deliver this objective through three outcomes:  ,Agriculture,Project Under Implementation,International Fund Agricultural Dev,"Ministry of Environment, Protection of Nature and  Sustainable Development (MINEPDED)",6 years,9/23/2020,10/27/2022,,"USD 1,260,000","USD 9,982,000"
Chile/Latin America & Caribbean,Enhancing resilience to climate change of the small agriculture in the Chilean region of O’Higgins,"The O´Higgins region includes 33 municipalities eight of which are chosen as project area: Paredones, Pichilemu, Marchihue, La Estrella, Litueche, Navidad, Lolol and Pumanque. According to climate change projections, O’Higgins region is located among the areas that will be most affected by precipitation decreases. The effects of climate change are projected to further exacerbate water scarcity and soil degradation that the small farmers of the area are already facing. Besides agricultural production, climate change will also affect ecosystem services and biodiversity intensifying the vulnerability of small and subsistence farmers to climate conditions. Objectives: The main objective is to increase the resilience capacity of rural farm communities in the coastal and inner dry lands of the O´Higgins region with respect to actual climate variation and future climate changes. Specific objectives of the project are:  ",Agriculture,Project Under Implementation,Agencia de Cooperación Internacional de Chile,Ministry of Agriculture and Ministry of Environmen,4 years,10/9/2015,8/18/2017,,"USD 9,960,000","USD 9,960,000"
